"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"LY1021004283",0.6425,0.7500000000000002,0.9574999999999999,0.8250000000000001,9,1,222,134,"Homme",28,"Libye","Niger","No","Yes","No","No","No","No","KND"
"LY1021004285",0.58,0.7424999999999999,0.96,0.7700000000000001,21,1,222,134,"Homme",32,"Libye","Niger","No","Yes","No","No","No","No","KND"
"LY1021005087",0.495,0.5408333333333333,0.415,0.4691666666666668,4,0,121.5,174.5,"Femme",25,"Libye","Autre","No","No","Yes","Yes","Yes","Yes","CAS"
"LY102100513",0.71,0.43749999999999994,0.815,0.7050000000000002,2,0,0,0,"Homme",27,"Libye","Niger","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"LY1021005755",0.72,0.5633333333333334,0.78,0.6766666666666667,4,55,0,0,"Homme",16,"Libye","Autre","No","Yes","Yes","No","Yes","Yes","Unknown"
"LY1021006098",0.8975,0.7424999999999999,0.9149999999999999,0.8650000000000002,2,1,249,82,"Homme",37,"Libye","Niger","No","Yes","No","No","No","No","KND"
"LY1021006480",0.565,0.25000000000000006,0.56,0.495,3,0,128,238,"Homme",30,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"LY1021006487",0.44999999999999996,0.415,0.95,0.6525000000000001,3,0,174,199,"Homme",31,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"LY1021006756",0.7124999999999999,0.6308333333333334,0.9025000000000001,0.7741666666666669,3,7,96,295,"Homme",23,"Libye","Autre","No","Yes","No","No","Yes","Yes","KND"
"LY1021006769",0.48250000000000004,0.19166666666666665,0.535,0.4258333333333334,4,4,114,246,"Homme",30,"Libye","Autre","No","Yes","No","No","Yes","No","KND"
"LY1021006863",0.41500000000000004,0.6858333333333334,0.885,0.6916666666666668,3,0,163,250,"Femme",29,"Libye","Autre","Yes","No","No","No","No","No","KND"
"LY1021007249",0.7125,0.7216666666666667,0.8775000000000001,0.7983333333333336,5,6,98,291,"Homme",30,"Libye","Autre","No","Yes","No","No","Yes","Yes","KND"
"LY1021007457",0.7324999999999999,0.6591666666666667,0.7525,0.7483333333333333,2,5,106,303,"Femme",28,"Libye","Autre","No","Yes","No","No","No","No","KND"
"LY1021007512",0.64,0.3516666666666667,0.8775000000000001,0.6458333333333334,4,5,303,91,"Femme",25,"Libye","Autre","No","Yes","Yes","Yes","No","No","KND"
