ID_1,InterviewDate,InterviewType,BusinessSucess,BusinessProfitability,WouldMigrateAgain,SituationWithoutSupport,ReturningWasGoodDecision,SatisfiedWithReintegrationSupport,Country,CountryOfReturn,Gender,AgeGroup,MigrationDuration,Disabled,ReceivedSupportAs,BusinessType,BusinessMembers,ReceivedIOMBusinessAdvice,BusinessHasEmployees,EmployeeNumber,CoronaImpactOnBusiness,FirstChoice,MicroBusinessLevel,TrainingType,TrainingDuration,DateOfReturn,ReintegrationDate,Gender_Mimosa,AgeAtReferral_Mimosa,ReturnToReintegration
NA,2022-06-15,Par téléphone,Actuellement ouvert et les activités marchent bien,Non,Non,Pire,Oui,Très satisfait,Sénégal,Lybie,Masculin,18-35 ans,7,Non,En nature,Commerce,Moi uniquement,Oui,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-06-15,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Partiellement,OK,Nigeria,Lybie,Féminin,18-35 ans,1,Non,En nature,Agriculture,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA,NA
LY1021006863,2022-06-17,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,OK,Sénégal,Lybie,Féminin,18-35 ans,0,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,Individual,NA,NA,2021-11-09T00:00:00Z,2022-04-21T00:00:00Z,Female,27,163
LY1021006863,2022-06-17,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,OK,Sénégal,Lybie,Féminin,18-35 ans,0,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,2021-11-09T00:00:00Z,2022-04-21T00:00:00Z,Female,0,163
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Female,10,66
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Male,15,66
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Female,7,66
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,NA,2022-02-21T00:00:00Z,2022-04-28T00:00:00Z,Male,66,66
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,TRUE,2022-02-21T00:00:00Z,2022-06-29T00:00:00Z,Female,17,128
TD1022001065,2022-06-20,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Sénégal,Tchad,Masculin,+65 ans,40,Non,En nature,Artisan-Ouvrier,Moi uniquement,Non,Non,NA,Non,Oui,Collective,NA,TRUE,2022-02-21T00:00:00Z,2022-06-29T00:00:00Z,Female,36,128
