"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","VOTs","UMINOR","HealthCondition","CounsellingStatus","EconomicSupport","FinancialServices","JobPlacement","Microbusiness","Training","SocialSupport","ChildCare","Education","Housing","LegalServices","MaterialAssistance","MedicalSupport","SocialProtectionSchemes","PsychosocialSupport","Microbusinesslevel","MicrobusinessDeliveredBy","MicrobusinessFormOfAssistance"
"DZ1021547C12F53ED5",0.48250000000000004,0.5841666666666666,0.9025000000000001,0.6983333333333334,"2",5,16,164.95833333333334,"Homme","30","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"DZ10215A0C72D5185C",0.5149999999999999,0.7500000000000002,0.845,0.6925,"4",NA,233,159.95833333333334,"Homme","24","Algérie","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","Referral","KND"
"DZ10215A423638C118",0.5175,0.5016666666666667,0.5725000000000001,0.5058333333333334,"6",NA,187,211.95833333333334,"Homme","27","Algérie","Senegal","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Individual","Referral","KND"
"DZ10215BCC36DDBD50",0.3225,0.5875,0.8125,0.6150000000000001,"4",5,2,380.9583333333333,"Homme","41","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Individual","IOM Direct Assistance","KND"
"DZ102162BB7CD2E2E1",0.8175,0.59,0.7400000000000001,0.7450000000000001,"4",NA,2,380.9583333333333,"Homme","28","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ1021689F23E4647F",0.8424999999999999,0.4916666666666667,0.8274999999999999,0.7308333333333334,"6",5,29,188.95833333333334,"Homme","25","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Individual","IOM Direct Assistance","CAS, KND"
"DZ102189353FD84D5C",0.7,0.6783333333333333,0.7150000000000001,0.7241666666666667,"6",5,112,146.95833333333334,"Homme","29","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ1021C9D4E2775F0B",0.4600000000000001,0.5216666666666667,0.8524999999999999,0.6308333333333335,"3",5,102,183.95833333333334,"Homme","25","Algérie","Mali","No","No","No","Completed","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ1021CEF062F174CB",0.57,0.6775,0.6725,0.6100000000000001,"5",NA,97,188.95833333333334,"Homme","24","Algérie","Mali","No","No","Yes","Completed","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Individual","IOM Direct Assistance","KND"
"DZ1022001084",0.575,0.7500000000000002,0.8274999999999999,0.7250000000000001,"4",0,62,203.95833333333334,"Femme","55","Algérie","Cote d'ivoire","No","No","No","Completed","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","Individual","IOM Direct Assistance","CAS"
"DZ1022001202",0.5925,0.3225,0.5875,0.5050000000000001,"2",NA,65,193.95833333333334,"Homme","25","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
"DZ1022001341",0.5025,0.4033333333333333,0.7275,0.5641666666666667,"3",NA,97,168.95833333333334,"Homme","30","Algérie","Cote d'ivoire","No","No","No","Completed","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","CAS"
"DZ1022001616",0.5975,0.5016666666666667,0.6675,0.6308333333333334,"0",NA,48,223.95833333333334,"Homme","32","Algérie","Cote d'ivoire","No","No","No","Completed","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Individual","IOM Direct Assistance","CAS"
"DZ1022002388",0.235,0.5783333333333334,0.6775,0.49416666666666653,"3",7,59,191.95833333333334,"Homme","23","Algérie","Guinee Conakry","No","No","No","Not Requested","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Individual","IOM Direct Assistance","CAS, KND"
