"","Code Mimosa Corrigé","Economic reintegration Score","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","EconomicScore","Difference"
"21","Ly1021004279",0.5575,"Neutre","Souvent( au moins une fois la semaine)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Bétails Actifs reçus de l'OIM","Oui",0.5,0.25,1,0.25,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.03,0.02,0.08,0.02,0.025,0.005,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.565,0.00749999999999995
"22","LY1021004283",0.6825,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Bétails","Oui",0.75,0.5,1,0.75,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.6825,0
"23","LY1021004285",0.58,"Neutre","Des fois ( 2 ou 3 fois le mois)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Bien","Oui","Terre Actifs reçus de l'OIM","Oui",0.5,0.5,1,0.25,1,0.75,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.06,0.04,0.08,0.02,0.025,0.005,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0,0,0.6275,0.0475
"24","LY1021006649",0.1775,"Très satisfait","Souvent( au moins une fois la semaine)","Non","Jamais",NA,"Très faible","Non","Aucun actif détenu","Oui",1,0.25,0,1,0.5,0,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.03,0.02,0,0,0.1,0.02,0.04,0.02,0,0,0,0,0,0,0,0,0.32,0.1425
"25","LY1021008068",0.9675,"Neutre","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Je souhaite ne pas répondre","Faible","Oui","Bâtiments et structures","Oui",0.5,0.25,1,0.5,0.5,0.25,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.03,0.02,0.08,0.02,0.05,0.01,0.04,0.02,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.5175,-0.45
"26","LY1021008084",0.9425,"Très satisfait","Jamais","Je ne sait pas","Jamais","Les dépenses sont plus importantes","Bien","Oui","Terre Bétails Actifs reçus de l'OIM","Non",1,1,0.5,1,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.12,0.08,0.04,0.01,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.9275,-0.015
"27","LY1021008166",0.81,"Très satisfait","Jamais","Non","Jamais","Les dépenses sont plus importantes","Bien","Oui","Bâtiments et structures","Non",1,1,0,1,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.12,0.08,0,0,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.8875,0.0775
"28","LY1021008253",0.7125,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Jamais","Les dépenses sont plus importantes","Acceptable","Oui","Bétails Équipement et outils Actifs reçus de l'OIM","Oui",0.75,0.75,1,1,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.1,0.02,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.7375,0.025
"29","LY1021008343",0.8525,"Neutre","Jamais","Je ne sait pas","Jamais","Les dépenses sont plus importantes","Bien","Oui","Terre Actifs reçus de l'OIM","Non",0.5,1,0.5,1,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.12,0.08,0.04,0.01,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.8525,0
"30","LY1021008619",0.8575,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Je ne sait pas","Jamais","Les dépenses sont plus importantes","Bien","Oui","Bâtiments et structures Autre (veuillez préciser)","Non",0.75,0.75,0.5,1,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.04,0.01,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.86,0.00250000000000006
