"MimosaID","Project","InterviewDate","ReintegrationDate","InterviewType","BusinessSucess","BusinessProfitability","WouldMigrateAgain","SituationWithoutSupport","ReturningWasGoodDecision","SatisfiedWithReintegrationSupport","Country","CountryOfReturn","Gender","AgeGroup","MigrationDuration","Disabled","TrainingType","TrainingStart","TrainingEnd","TimeToReceiveSupport","ReceivedSupportAs","BusinessType","BusinessMembers","MicroBusinessLevel","ReceivedIOMBusinessAdvice","BusinessHasEmployees","EmployeeNumber","CoronaImpactOnBusiness","FirstChoice","SupportDuration","TrainingDuration"
"MA1021001929","JI","2021/10/02 00:00:00","2021/06/20 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","None",NA,NA,8,"En nature","Elevage","Moi uniquement","Individual","Non","Non","0","Oui","Oui",104,0
"MA1017001890","JI","2021/10/02 00:00:00","2021/06/15 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",6,"Non","None",NA,NA,4,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Oui","Oui",109,0
"NE1019X057275","JI","2021/10/02 00:00:00","2020/07/20 00:00:00","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",2,"Non","Business/management","2021/04/02 00:00:00","2021/04/02 00:00:00",4,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",439,0
"MA1018002284","JI","2021/10/02 00:00:00","2019/09/19 00:00:00","Par téléphone","High","High","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","Business/management","2021/10/21 00:00:00","2021/10/21 00:00:00",12,"En nature","Commerce","Moi uniquement","Individual","Oui","Autre","1+","Oui","Oui",744,0
"MA1018002335","JI","2021/10/02 00:00:00","2019/09/20 00:00:00","Par téléphone","Low","Low","Yes","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","Business/management","2021/11/22 00:00:00","2021/11/22 00:00:00",96,"En nature","Autre","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",743,0
"MA1018002336","JI","2021/10/02 00:00:00","2019/09/19 00:00:00","Par téléphone","High","Low","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","None",NA,NA,12,"En nature","Autre","Moi uniquement","Individual","Oui","Autre","1+","Oui","Oui",744,0
"NE1019X057258","JI","2021/10/02 00:00:00","2020/01/29 00:00:00","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",0,"Non","None",NA,NA,48,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",612,0
"NE1019X005590","JI","2021/10/02 00:00:00","2021/04/23 00:00:00","Par téléphone","High","High","Yes","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Niger","Masculin","36+",5,"Non","None",NA,NA,96,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",162,0
"MA1018002327","JI","2021/10/02 00:00:00","2019/09/23 00:00:00","Par téléphone","High","High","No","Pire","Non","Très satisfait","Sénégal","Maroc","Masculin","36+",0,"Non","Business/management","2021/10/21 00:00:00","2021/10/21 00:00:00",28,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Oui","Oui",740,0
"MA1018002329","JI","2021/10/02 00:00:00","2020/08/22 00:00:00","Par téléphone","Low","Low","No","Pire","Non","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","Business/management","2021/07/25 00:00:00","2021/07/25 00:00:00",12,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",406,0
"MA1020003384","JI","2021/10/02 00:00:00","2020/10/30 00:00:00","Par téléphone","Low","Low","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",2,"Non","None",NA,NA,20,"En nature","Transport","Moi uniquement","Individual","Non","Non","0","Non","Oui",337,0
"TD1021001059","JI","2021/10/04 00:00:00","2021/06/18 00:00:00","Par téléphone","High","Low","No","Pire","Oui","Très satisfait","Sénégal","Autre","Masculin","14-35",10,"Non","Business/management","2021/10/25 00:00:00","2021/11/05 00:00:00",8,"En nature","Commerce","Moi uniquement","Individual","Non","Non","0","Oui","Oui",108,11
"NE1019X018122","JI","2021/10/04 00:00:00","2021/05/26 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",3,"Non","None",NA,NA,96,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",131,0
"NE1019X018870","JI","2021/10/04 00:00:00","2020/02/08 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Niger","Masculin","14-35",2,"Non","None",NA,NA,24,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",604,0
"NE1019X033134","JI","2021/10/04 00:00:00","2020/08/05 00:00:00","Par téléphone","Low","Low","No","Identique","Oui","Très satisfait","Sénégal","Algerie","Masculin","14-35",0,"Non","None",NA,NA,24,"En nature","Agriculture/aviculture","Moi uniquement","Individual","Oui","Non","0","Non","Oui",425,0
"NE1019001832","JI","2021/10/04 00:00:00","2020/01/01 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","14-35",3,"Non","None",NA,NA,2,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Non","Oui",642,0
"MA1018002291","JI","2021/10/04 00:00:00","2019/09/18 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","None",NA,NA,12,"En nature","Autre","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",747,0
"NE1019X068289","JI","2021/10/04 00:00:00","2020/08/04 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Algerie","Masculin","14-35",2,"Non","Business/management","2021/02/19 00:00:00","2021/02/19 00:00:00",12,"En nature","Commerce","Moi uniquement","Individual","Oui","Non","0","Non","Non",426,0
"MA1018002302","JI","2021/10/04 00:00:00","2019/10/09 00:00:00","Par téléphone","Low","Low","No","Pire","Oui","Satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","Business/management","2021/10/21 00:00:00","2021/10/21 00:00:00",96,"En nature","Agriculture/aviculture","Moi uniquement","Individual","Oui","Non","0","Oui","Oui",726,0
"TD1020001976","JI","2021/10/04 00:00:00","2021/04/30 00:00:00","Par téléphone","High","High","No","Pire","Oui","Très satisfait","Sénégal","Autre","Masculin","14-35",10,"Non","None",NA,NA,20,"En nature","Autre","Moi et d'autres","Individual","Non","Autre","1+","Oui","Oui",157,0
"MA1018002331","JI","2021/10/04 00:00:00","2019/11/18 00:00:00","Par téléphone","High","High","No","Pire","N/A (retour non volontaire)","Très satisfait","Sénégal","Maroc","Masculin","14-35",0,"Non","None",NA,NA,16,"En nature","Agriculture/aviculture","Moi uniquement","Individual","Oui","Autre","1+","Oui","Oui",686,0
